"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1716","Find broken images","webkit","2026-08-05","passed","2026-08-05","","BrokenLinks_Imgs.spec.ts","",""
"","27263","Create An Event","webkit","2026-08-05","passed","2026-08-05","Book An Event","EventHub/CreateAnEventTest.spec.ts","",""
"","0","UI Elements Validation","webkit","2026-08-05","skipped","2026-08-05","","Sample.spec.ts","",""
"","9154","Practice Web Ele","webkit","2026-08-05","passed","2026-08-05","","Sample.spec.ts","",""
"","28406","Check Result For Refund Eligibility @slow","webkit","2026-08-05","passed","2026-08-05","Verify Event Eligible for Refund @EventHub","EventHub/SingleEventWithRefund.spec.ts","",""
"","0","Order A Product","webkit","2026-08-05","skipped","2026-08-05","","Sample.spec.ts","",""
"","12586","@Web Verify Placing an Order","webkit","2026-08-05","passed","2026-08-05","Place An Order","OrderProduct/OrderProductTest.spec.ts","",""
"","27790","Check Result For Refund Eligibility @slow","webkit","2026-08-05","passed","2026-08-05","Verify Group Tickets Booking Is Not Eligible For Refund @EventHub","EventHub/GroupTicketBooking.spec.ts","",""
"","13766","Find broken links on the page","webkit","2026-08-05","passed","2026-08-05","","BrokenLinks_Imgs.spec.ts","",""
"","4897","Verify Login","webkit","2026-08-05","passed","2026-08-05","Login Page Test","OrderProduct/LoginPageTest.spec.ts","",""
"","15189","Place an order","webkit","2026-08-05","passed","2026-08-05","","OrderProduct/ClientAppUpdated.spec.ts","",""
"","3327","seed","webkit","2026-08-05","passed","2026-08-05","Test group","seed.spec.ts","",""
"","0","Event Booking From Create Event API @EventHub","webkit","2026-08-05","skipped","2026-08-05","","EventHub/EventBookingAPI.spec.ts","",""
